,edad,Valoración_actual,Progresión,precio,Ataque,Regate,Aceleración,Potencia_tiro,Agresividad,Defensa,Portería,Cluster
0,21,70,80,3300000,54,47,62,35,65,67,10,1
11,21,70,80,3300000,31,44,64,45,75,74,14,1
12,18,70,81,3100000,31,54,65,60,71,68,15,1
14,18,70,81,3100000,43,59,62,49,66,69,10,1
15,19,70,81,3300000,61,74,84,41,69,63,8,1
19,18,70,81,3200000,66,69,84,58,59,63,11,1
25,20,70,81,3300000,55,66,68,78,73,70,6,1
29,21,70,80,3300000,44,52,77,57,71,69,10,1
35,20,70,80,3300000,68,64,85,49,66,64,11,1
40,19,70,80,3300000,65,67,79,50,80,63,14,1
41,20,70,81,3300000,60,67,74,24,63,67,13,1
42,20,70,80,3300000,73,74,86,71,76,55,13,1
43,20,70,80,3300000,63,74,74,46,59,68,12,1
47,20,70,80,3300000,67,69,80,61,67,63,9,1
58,21,70,80,3300000,24,49,54,59,69,70,15,1
62,18,70,81,3200000,66,69,84,58,59,63,11,1
65,19,69,84,3300000,71,71,81,64,72,59,9,1
67,20,69,82,3200000,43,73,65,69,68,63,14,1
68,19,69,83,3300000,79,68,69,78,68,59,13,1
69,21,69,80,3200000,65,68,79,68,52,21,13,0
70,19,69,82,3300000,44,76,76,65,48,24,14,0
71,21,69,80,2900000,28,61,58,59,68,71,13,1
72,19,69,83,3300000,60,76,84,68,38,20,8,0
73,21,69,81,3200000,56,69,73,58,81,61,5,1
74,19,69,81,3100000,56,72,72,59,65,64,8,1
75,20,69,80,2900000,58,70,68,64,65,62,14,1
76,19,69,83,3300000,63,73,90,64,40,44,5,0
77,19,69,80,3000000,66,71,72,65,50,39,9,0
78,17,69,85,3300000,67,71,75,43,60,62,13,1
79,21,69,80,3100000,53,75,80,58,52,50,8,1
80,20,69,80,3100000,61,74,90,77,70,59,6,1
81,21,69,83,3000000,21,23,51,48,35,19,70,2
82,18,69,81,3300000,62,72,75,66,72,44,9,1
83,20,69,80,2900000,53,63,53,56,72,66,12,1
