,edad,Valoración_actual,Progresión,precio,Ataque,Regate,Aceleración,Potencia_tiro,Agresividad,Defensa,Portería
0,21,70,80,3300000,54,47,62,35,65,67,10
1,19,70,83,3800000,59,80,84,65,34,25,7
2,17,70,82,3600000,59,72,79,70,60,40,6
3,20,70,81,3500000,46,67,71,75,64,30,12
4,21,70,81,3600000,58,71,73,73,74,19,5
5,19,70,84,3800000,64,74,79,72,54,53,10
6,21,70,80,3600000,68,76,79,68,47,21,12
7,19,70,82,3800000,60,71,70,57,69,64,8
8,19,70,83,3800000,66,72,93,63,41,17,13
9,18,70,82,3500000,67,64,76,56,66,68,10
10,19,70,83,3600000,57,62,71,55,62,66,8
11,21,70,80,3300000,31,44,64,45,75,74,14
12,18,70,81,3100000,31,54,65,60,71,68,15
13,18,70,84,3500000,80,67,77,70,67,60,11
14,18,70,81,3100000,43,59,62,49,66,69,10
15,19,70,81,3300000,61,74,84,41,69,63,8
16,20,70,81,3000000,13,10,29,49,24,6,70
17,21,70,81,3600000,59,75,77,75,58,52,5
18,21,70,80,3400000,50,66,76,71,72,58,11
19,18,70,81,3200000,66,69,84,58,59,63,11
20,19,70,81,3400000,67,74,85,60,54,40,5
21,20,70,81,3500000,69,72,76,60,46,38,9
22,17,70,85,3700000,61,81,85,70,33,23,9
23,18,70,83,3700000,56,80,87,71,76,45,12
24,18,70,83,3500000,41,70,72,71,58,66,6
25,20,70,81,3300000,55,66,68,78,73,70,6
26,20,70,82,3800000,72,70,72,69,40,45,6
27,21,70,80,3600000,42,72,67,59,66,52,13
28,19,70,81,3400000,58,78,74,71,60,42,13
29,21,70,80,3300000,44,52,77,57,71,69,10
30,19,70,86,4099999,67,74,78,68,42,35,9
31,18,70,83,3700000,45,73,72,72,54,22,6
32,20,70,81,3500000,77,72,79,67,42,39,6
33,20,70,83,3800000,59,75,77,68,62,60,5
34,20,70,81,3500000,52,65,69,70,55,26,12
35,20,70,80,3300000,68,64,85,49,66,64,11
36,20,70,80,3500000,67,81,81,61,63,48,8
37,21,70,80,3400000,63,59,68,45,67,70,11
38,21,70,81,3600000,63,71,84,72,63,21,11
39,18,70,87,4000000,70,75,71,72,45,24,15
40,19,70,80,3300000,65,67,79,50,80,63,14
41,20,70,81,3300000,60,67,74,24,63,67,13
42,20,70,80,3300000,73,74,86,71,76,55,13
43,20,70,80,3300000,63,74,74,46,59,68,12
44,20,70,80,3500000,49,72,77,70,64,19,6
45,21,70,80,3600000,63,73,57,69,35,15,13
46,19,70,82,3600000,68,73,86,63,72,63,9
47,20,70,80,3300000,67,69,80,61,67,63,9
48,21,70,80,3600000,60,76,87,66,49,39,11
49,20,70,81,3500000,69,67,82,62,60,24,14
50,21,70,80,3400000,73,66,78,65,65,65,11
51,19,70,80,3400000,55,68,71,60,60,60,14
52,20,70,82,3800000,59,80,90,53,29,32,9
53,21,70,80,3400000,55,68,74,73,75,65,8
54,20,70,82,3600000,66,62,68,68,69,64,10
55,20,70,80,3500000,64,69,84,65,42,36,9
56,21,70,81,3400000,65,75,90,41,65,60,11
57,19,70,84,3300000,11,22,40,49,14,11,73
58,21,70,80,3300000,24,49,54,59,69,70,15
59,19,70,83,3800000,59,80,84,65,34,25,7
60,20,70,80,3500000,49,72,77,70,64,19,6
61,20,70,81,3500000,69,72,76,60,46,38,9
62,18,70,81,3200000,66,69,84,58,59,63,11
63,19,70,83,3600000,57,62,71,55,62,66,8
64,21,70,80,3400000,50,66,76,71,72,58,11
65,19,69,84,3300000,71,71,81,64,72,59,9
66,21,69,81,3400000,68,75,86,71,35,33,14
67,20,69,82,3200000,43,73,65,69,68,63,14
68,19,69,83,3300000,79,68,69,78,68,59,13
69,21,69,80,3200000,65,68,79,68,52,21,13
70,19,69,82,3300000,44,76,76,65,48,24,14
