,edad,pais
0,21,Uruguay
1,19,Morocco
2,17,Spain
3,20,Brazil
4,21,Portugal
5,19,Poland
6,21,Spain
7,19,Argentina
8,19,Germany
9,18,Spain
10,19,Argentina
11,21,Paraguay
12,18,Czech Republic
13,18,Belgium
14,18,Guinea
15,19,Brazil
16,20,Brazil
17,21,Portugal
18,21,Mexico
19,18,France
20,19,England
21,20,Argentina
22,17,France
23,18,Argentina
24,18,Uruguay
25,20,Portugal
26,20,Portugal
27,21,Spain
28,19,Brazil
29,21,Netherlands
30,19,Uruguay
31,18,Portugal
32,20,Brazil
33,20,Netherlands
34,20,Argentina
35,20,Netherlands
36,20,France
37,21,Croatia
38,21,Korea Republic
39,18,Italy
40,19,Mexico
41,20,England
42,20,Argentina
43,20,Germany
44,20,Argentina
45,21,Spain
46,19,England
47,20,England
48,21,Argentina
49,20,Spain
50,21,Spain
51,19,United States
52,20,Georgia
53,21,Spain
54,20,England
55,20,England
56,21,Germany
57,19,Belgium
58,21,France
59,19,Morocco
60,20,Argentina
61,20,Argentina
62,18,France
63,19,Argentina
64,21,Mexico
65,19,Brazil
66,21,Portugal
67,20,France
68,19,Croatia
69,21,Spain
70,19,Brazil
71,21,England
72,19,Brazil
73,21,Argentina
74,19,France
75,20,Mexico
76,19,Poland
77,19,Turkey
78,17,Portugal
79,21,Germany
80,20,Côte d'Ivoire
81,21,Netherlands
82,18,Netherlands
83,20,Serbia
84,19,England
85,21,England
86,19,France
87,21,Uruguay
88,20,Spain
89,21,Turkey
90,21,Italy
91,20,Denmark
92,20,Guinea
93,20,Nigeria
94,20,United States
95,19,Argentina
96,18,Denmark
97,18,Croatia
98,21,Chile
99,19,Denmark
100,20,Belgium
101,21,England
102,16,Germany
103,21,Spain
104,18,England
105,19,Belgium
106,21,Spain
107,20,Nigeria
108,21,United States
109,20,Romania
110,20,Netherlands
111,19,Portugal
112,18,Portugal
113,19,Spain
114,21,Paraguay
115,21,Mexico
116,19,Netherlands
117,18,France
118,17,France
119,20,Italy
120,17,Poland
121,18,Spain
122,20,France
123,19,Spain
124,19,France
125,20,England
126,20,Spain
127,18,Argentina
128,20,Spain
129,21,Mexico
130,18,Côte d'Ivoire
131,19,Netherlands
132,17,Spain
133,20,Ecuador
134,19,Italy
135,20,Argentina
136,18,Uruguay
137,20,Spain
138,18,Slovenia
139,19,Sweden
140,19,Spain
141,21,Norway
142,21,Serbia
143,20,England
144,20,Colombia
145,18,Slovenia
146,18,Italy
147,19,Argentina
148,18,Italy
149,19,Romania
150,18,Argentina
151,18,Portugal
152,17,United States
153,18,Argentina
154,18,Belgium
155,20,England
156,19,Switzerland
157,19,England
158,19,Belgium
159,19,Nigeria
160,19,Gambia
161,19,Argentina
162,18,Spain
163,19,England
164,17,Spain
165,19,Italy
166,18,Spain
167,19,France
168,19,Switzerland
169,18,Greece
170,19,England
171,21,Switzerland
172,19,Norway
173,20,Portugal
174,21,England
175,18,Germany
176,19,England
177,19,Germany
178,18,Croatia
179,19,Croatia
180,20,Sierra Leone
181,20,Spain
182,18,France
183,19,Spain
184,18,Mexico
185,19,France
186,20,Switzerland
187,18,Spain
188,20,Spain
189,19,England
190,19,England
191,19,Italy
192,20,Spain
193,20,Portugal
194,18,Portugal
195,19,Poland
196,19,Germany
197,18,Belgium
198,18,Mexico
199,19,Spain
200,20,Portugal
201,17,Norway
202,19,Argentina
203,20,Switzerland
204,16,Turkey
205,18,France
206,19,Portugal
207,18,England
208,19,Portugal
209,17,Portugal
210,20,Italy
211,16,Argentina
212,18,Brazil
213,19,England
214,20,France
215,17,England
216,19,Netherlands
217,19,Spain
218,20,Spain
219,20,Spain
220,20,Spain
221,20,Uruguay
222,20,Argentina
223,19,Argentina
224,17,Italy
225,18,Romania
226,20,Spain
227,18,Belgium
228,17,Italy
229,18,Venezuela
230,18,Denmark
231,18,France
232,21,Brazil
233,19,Netherlands
234,16,England
235,19,Romania
236,20,Portugal
237,18,Sweden
238,17,England
239,17,United States
240,17,United States
241,17,Portugal
242,19,Argentina
243,19,England
244,19,France
245,19,Spain
246,19,Portugal
247,19,Germany
248,18,Switzerland
249,19,Ukraine
250,17,Brazil
251,17,Serbia
252,19,Spain
253,17,Germany
254,18,Mali
255,17,Spain
256,18,Romania
257,20,England
258,16,Portugal
259,19,France
260,18,England
261,17,Netherlands
262,18,United States
263,17,Spain
264,18,Chile
265,19,Turkey
266,18,Venezuela
267,18,Argentina
268,18,Argentina
269,19,England
270,19,Spain
271,19,Switzerland
272,17,Portugal
273,19,Germany
274,19,Argentina
275,19,Argentina
276,18,Spain
277,18,Serbia
278,18,Norway
279,18,Spain
280,19,Spain
281,19,Germany
282,16,Spain
283,17,Greece
284,17,England
285,19,Netherlands
286,18,Scotland
287,16,Portugal
288,17,England
289,19,Spain
290,18,Greece
291,17,England
292,18,Argentina
293,18,Italy
294,17,Netherlands
295,18,Netherlands
296,18,Netherlands
297,18,Côte d'Ivoire
298,18,Romania
299,19,Germany
300,19,Italy
301,17,Italy
302,18,Netherlands
303,17,Spain
304,17,France
305,17,Denmark
306,17,Italy
307,18,Tunisia
308,16,France
309,19,Korea Republic
310,18,Croatia
311,19,Argentina
312,19,England
313,19,England
314,18,England
315,19,England
316,19,Estonia
317,17,England
318,18,Germany
319,19,Canada
320,16,Netherlands
321,19,Portugal
322,18,Netherlands
323,18,England
324,17,England
325,17,Belgium
326,16,Belgium
327,18,England
328,17,Norway
329,17,Italy
330,17,Hungary
331,17,Turkey
332,17,Sweden
333,17,France
334,18,Argentina
335,16,Germany
336,17,Argentina
337,18,England
338,17,France
339,18,Argentina
340,17,Argentina
341,17,France
342,18,Spain
343,19,Spain
344,18,Venezuela
345,17,England
346,17,Paraguay
347,16,Norway
348,17,Scotland
349,18,England
350,18,Republic of Ireland
351,16,Spain
352,17,Portugal
353,17,Guinea
354,18,England
355,17,Poland
356,18,Germany
357,18,England
358,16,France
359,17,Netherlands
360,18,Turkey
361,17,France
362,17,England
363,18,Spain
364,17,Belgium
365,18,Norway
366,18,Peru
367,18,Spain
368,16,Germany
369,18,Mali
370,17,Netherlands
371,16,Denmark
372,18,England
373,19,England
374,17,Belgium
375,17,Greece
376,18,Switzerland
377,16,Netherlands
378,17,Uruguay
379,16,Spain
380,17,England
381,17,Switzerland
382,17,Netherlands
383,16,England
384,17,Japan
385,17,Brazil
386,18,Italy
387,18,England
388,19,Spain
389,18,Belgium
390,17,Argentina
391,18,England
392,18,England
393,17,Italy
394,16,Belgium
395,16,Argentina
396,17,Spain
397,18,Germany
398,16,Netherlands
399,17,Cyprus
400,17,Italy
401,18,England
402,16,England
403,17,Germany
404,16,Turkey
405,17,Argentina
406,16,Guinea
407,17,Canada
408,16,England
409,17,Chile
410,17,Belgium
411,16,Republic of Ireland
412,17,England
413,17,Sweden
414,16,Venezuela
415,16,Spain
416,16,Norway
417,16,England
