,Valoración actual,Progresión
0,70,80
1,70,83
2,70,82
3,70,81
4,70,81
5,70,84
6,70,80
7,70,82
8,70,83
9,70,82
10,70,83
11,70,80
12,70,81
13,70,84
14,70,81
15,70,81
16,70,81
17,70,81
18,70,80
19,70,81
20,70,81
21,70,81
22,70,85
23,70,83
24,70,83
25,70,81
26,70,82
27,70,80
28,70,81
29,70,80
30,70,86
31,70,83
32,70,81
33,70,83
34,70,81
35,70,80
36,70,80
37,70,80
38,70,81
39,70,87
40,70,80
41,70,81
42,70,80
43,70,80
44,70,80
45,70,80
46,70,82
47,70,80
48,70,80
49,70,81
50,70,80
51,70,80
52,70,82
53,70,80
54,70,82
55,70,80
56,70,81
57,70,84
58,70,80
59,70,83
60,70,80
61,70,81
62,70,81
63,70,83
64,70,80
65,69,84
66,69,81
67,69,82
68,69,83
69,69,80
70,69,82
71,69,80
72,69,83
73,69,81
74,69,81
75,69,80
76,69,83
77,69,80
78,69,85
79,69,80
80,69,80
81,69,83
82,69,81
83,69,80
84,69,82
85,69,80
86,69,81
87,69,81
88,69,81
89,69,80
90,69,80
91,69,80
92,69,80
93,69,82
94,69,80
95,69,82
96,69,80
97,69,84
98,69,80
99,69,81
100,69,83
101,69,80
102,69,89
103,69,80
104,69,84
105,69,83
106,69,80
107,69,81
108,69,80
109,69,81
110,68,83
111,68,83
112,68,84
113,68,80
114,68,80
115,68,80
116,68,81
117,68,82
118,68,81
119,68,80
120,68,85
121,68,81
122,68,80
123,68,80
124,68,81
125,68,80
126,68,80
127,68,83
128,68,80
129,68,81
130,68,85
131,68,82
132,68,83
133,68,80
134,68,80
135,68,80
136,68,82
137,68,80
138,68,81
139,68,81
140,68,81
141,68,80
142,68,80
143,68,80
144,68,80
145,68,82
146,68,82
147,68,81
148,68,81
149,67,82
150,67,82
151,67,81
152,67,82
153,67,83
154,67,85
155,67,80
156,67,84
157,67,80
158,67,81
159,67,80
160,67,80
161,67,83
162,67,82
163,67,83
164,67,83
165,67,80
166,67,82
167,67,81
168,67,83
169,67,81
170,67,80
171,67,82
172,67,80
173,67,82
174,67,80
175,67,80
176,67,82
177,67,84
178,67,84
179,67,81
180,67,83
181,67,80
182,67,83
183,67,82
184,67,83
185,67,84
186,67,81
187,67,82
188,67,81
189,67,85
190,66,82
191,66,80
192,66,80
193,66,80
194,66,80
195,66,82
196,66,80
197,66,80
198,66,80
199,66,80
200,66,80
201,66,84
202,66,82
203,66,81
204,66,86
205,66,82
206,66,80
207,66,84
208,66,81
209,66,80
210,66,80
211,66,86
212,66,87
213,66,80
214,66,80
215,66,84
216,66,80
217,66,80
218,66,80
219,66,80
220,66,80
221,66,80
222,66,81
223,66,80
224,66,84
225,66,80
226,66,80
227,66,84
228,65,82
229,65,80
230,65,83
231,65,82
232,65,80
233,65,80
234,65,85
235,65,80
236,65,80
237,65,82
238,65,80
239,65,82
240,65,81
241,65,85
242,65,80
243,65,80
244,65,81
245,65,80
246,65,81
247,65,81
248,65,80
249,65,80
250,65,83
251,65,85
252,65,80
253,65,81
254,65,80
255,65,82
256,65,81
257,65,80
258,65,83
259,65,80
260,65,82
261,65,81
262,65,82
263,65,82
264,65,80
265,65,80
266,65,82
267,65,81
268,65,85
269,65,81
270,65,80
271,65,82
272,65,81
273,65,80
274,65,80
275,65,83
276,65,80
277,64,81
278,64,80
279,64,80
280,64,81
281,64,80
282,64,81
283,64,81
284,64,86
285,64,81
286,64,81
287,64,81
288,64,85
289,64,80
290,64,81
291,64,81
292,64,80
293,64,81
294,64,80
295,64,83
296,64,80
297,64,82
298,64,81
299,64,80
300,64,81
301,64,83
302,64,84
303,64,81
304,64,82
305,64,84
306,64,83
307,64,84
308,64,84
309,64,80
310,64,80
311,64,80
312,64,81
313,64,80
314,64,80
315,64,80
316,64,80
317,64,86
318,64,80
319,64,81
320,64,84
321,64,80
322,64,80
323,64,84
324,64,80
325,64,83
326,64,88
327,63,82
328,63,82
329,63,80
330,63,83
331,63,81
332,63,80
333,63,80
334,63,80
335,63,82
336,63,81
337,63,83
338,63,82
339,63,80
340,63,84
341,63,80
342,63,80
343,63,81
344,63,81
345,63,83
346,63,83
347,63,83
348,63,80
349,63,82
350,63,81
351,63,83
352,63,81
353,63,80
354,63,83
355,62,80
356,62,82
357,62,82
358,62,80
359,62,82
360,62,81
361,62,80
362,62,84
363,62,80
364,62,85
365,62,80
366,62,81
367,62,80
368,62,85
369,62,81
370,62,81
371,62,85
372,62,82
373,62,80
374,62,85
375,62,80
376,62,80
377,62,80
378,62,80
379,62,81
380,62,82
381,61,82
382,61,80
383,61,84
384,61,83
385,61,81
386,61,81
387,61,81
388,61,81
389,61,82
390,61,80
391,61,80
392,60,80
393,60,81
394,60,82
395,60,80
396,60,81
397,60,80
398,60,81
399,60,80
400,60,80
401,60,80
402,60,85
403,60,82
404,59,82
405,59,80
406,59,82
407,59,80
408,59,80
409,59,82
410,59,82
411,58,80
412,58,81
413,58,80
414,58,80
415,57,80
416,56,81
417,55,81
