,edad,pais
0,17,Uruguay
1,17,Greece
2,18,Spain
3,16,Spain
4,16,Netherlands
5,16,France
6,17,Netherlands
7,18,Peru
8,17,France
9,17,England
10,17,Poland
11,18,Turkey
12,18,Mali
13,18,Germany
14,18,Spain
15,18,Switzerland
16,18,Norway
17,19,England
18,17,Argentina
19,18,England
20,18,Italy
21,18,Belgium
22,17,Brazil
23,17,Switzerland
24,18,England
25,16,England
26,17,Japan
27,17,Netherlands
28,19,Spain
29,16,Argentina
30,17,Spain
31,17,Italy
32,17,Cyprus
33,17,Italy
34,16,England
35,18,England
36,16,Belgium
37,16,Netherlands
38,18,England
39,17,Germany
40,18,Germany
41,16,Turkey
42,17,Argentina
43,17,Belgium
44,16,England
45,17,Chile
46,16,Guinea
47,17,Canada
48,16,Venezuela
49,17,Sweden
50,16,Republic of Ireland
51,17,England
52,16,Spain
53,16,Norway
54,16,England
