,Nombre jugador,Equipo actual
0,renzo-sanchez,club-nacional-de-football
1,dimitrios-keramitsis,roma
2,ruben-iranzo-lendinez,valencia-cf
3,pelayo-gonzalez-rey,real-oviedo
4,antoni-djibu-milambo,feyenoord
5,el-chadaille-bitshiabu,paris-saint-germain
6,mohamed-sankoh,vfb-stuttgart
7,joao-grimaldo,club-sporting-cristal
8,brahim-traore,stade-malherbe-caen
9,luke-mbete,manchester-city
10,piotr-starzynski,wisla-krakow
11,bartug-elmaz,galatasaray-sk
12,nene-dorgeles,sv-ried
13,bright-akwo-arrey-mbi,1-fc-koln
14,raul-moro-prescoli,lazio
15,bradley-fink,borussia-dortmund-ii
16,odin-thiago-holm,valerenga-fotball
17,nathan-wood,middlesbrough
18,ignacio-daniel-maestro-puch,atletico-tucuman
19,tim-iroegbunam,aston-villa
20,jacopo-fazzini,empoli
21,siebe-wylin,kv-oostende
22,pablo-felipe-pereira-de-jesus,futebol-clube-de-famalicao
23,esey-gebreyesus,olympique-de-marseille
24,sean-mcgurk,leeds-united
25,kaide-gordon,liverpool
26,takuhiro-nakai,real-madrid-cf
27,salah-eddine-oulad-mhand,arsenal
28,gabriel-veiga-novas,rc-celta-de-vigo
29,santiago-castro,velez-sarsfield
30,alberto-vaquero-aguilar,real-zaragoza
31,tommaso-de-nipoti,atalanta
32,antonio-foti,eintracht-frankfurt
33,filippo-missori,roma
34,alfie-devine,tottenham-hotspur
35,tyler-onyango,everton
36,mario-stroeykens,rsc-anderlecht
37,rav-van-den-berg,pec-zwolle
38,josh-brooking,chelsea
39,nnamdi-collins,borussia-dortmund
40,kwadwo-baah,watford
41,cem-ali-dogan,dsc-arminia-bielefeld
42,mateo-sanabria,club-atletico-lanus
43,arnaud-dony,sint-truidense-vv
44,lewis-hall,chelsea
45,cristian-riquelme,cd-everton-de-vina-del-mar
46,abdoulaye-kamara,borussia-dortmund
47,jahkeele-marshall-rutty,toronto-fc
48,kervin-andrade,deportivo-la-guaira-fc
49,amar-ahmed-fatah,aik
50,evan-ferguson,brighton-hove-albion
51,ben-chrisene,aston-villa
52,enrique-herrero-garcia,eintracht-frankfurt
53,peder-hoel-lervik,molde-fk
54,joshua-feeney,aston-villa
