,Valoración actual,Progresión
0,62,80
1,62,80
2,62,80
3,62,81
4,62,80
5,62,80
6,62,81
7,62,81
8,62,80
9,62,82
10,62,80
11,62,81
12,62,81
13,62,82
14,62,80
15,62,80
16,62,80
17,62,80
18,61,80
19,61,81
20,61,81
21,61,82
22,61,81
23,61,82
24,61,80
25,61,84
26,61,83
27,61,80
28,61,81
29,60,80
30,60,81
31,60,80
32,60,80
33,60,81
34,60,85
35,60,80
36,60,82
37,60,81
38,60,80
39,60,82
40,60,80
41,59,82
42,59,80
43,59,82
44,59,80
45,59,82
46,59,82
47,59,80
48,58,80
49,58,80
50,58,80
51,58,81
52,57,80
53,56,81
54,55,81
